i,dir,p_now,p_future,gross_ret,net_ret,balance
66,-1,107106.47,107145.16,-0.0003612293449686277,-0.0003612293449686277,9835.8581833054
68,1,107145.16,107312.58,0.0015625530821923306,0.0015625530821923306,9851.22723382573
70,1,107312.58,107129.48,-0.0017062305276791534,-0.0017062305276791534,9834.418769184273
72,1,107129.48,107224.51,0.0008870574187422875,0.0008870574187422875,9843.142463312495
74,1,107224.51,107437.74,0.0019886311441292825,0.0019886311441292825,9862.71684297114
76,1,107437.74,107495.01,0.0005330529104576875,0.0005330529104576875,9867.974192889305
78,1,107495.01,107412.4,-0.0007685007890133599,-0.0007685007890133599,9860.390646936106
80,1,107412.4,107275.76,-0.001272106386227323,-0.001272106386227323,9847.847181023442
82,1,107275.76,107177.13,-0.000919406210685314,-0.000919406210685314,9838.79300916333
84,1,107177.13,107362.99,0.0017341386170726114,0.0017341386170726114,9855.854840065904
86,1,107362.99,107367.84,4.5173853671531816e-05,4.5173853671531816e-05,9856.300067010257
88,1,107367.84,107144.17,-0.0020832122542466802,-0.0020832122542466802,9835.767301929129
90,1,107144.17,107249.83,0.0009861479164008369,0.0009861479164008369,9845.46682336013
92,1,107249.83,107453.07,0.0018950146587646266,0.0018950146587646266,9864.124127312778
94,1,107453.07,107263.27,-0.001766352510914837,-0.001766352510914837,9846.700606892524
96,1,107263.27,107502.27,0.0022281625387703397,0.0022281625387703397,9868.640656315289
98,1,107502.27,107297.49,-0.0019048900083691311,-0.0019048900083691311,9849.841981332887
100,1,107297.49,107214.9,-0.000769729096179339,-0.000769729096179339,9842.260271367086
102,-1,107214.9,107220.85,-5.549601781096314e-05,-5.549601781096314e-05,9841.714065115766
104,-1,107220.85,107368.66,-0.0013785565027697455,-0.0013785565027697455,9828.1467061929
106,1,107368.66,107375.46,6.333319238605029e-05,6.333319238605029e-05,9828.769154099042
108,1,107375.46,107325.32,-0.00046695958275755345,-0.00046695958275755345,9824.179516155824
110,1,107325.32,107544.94,0.0020463018419139,0.0020463018419139,9844.282752795027
112,1,107544.94,107282.0,-0.002444931393332017,-0.002444931393332017,9820.214156847882
114,1,107282.0,107253.31,-0.0002674260360545633,-0.0002674260360545633,9817.587975902708
116,-1,107253.31,107191.71,0.0005743412487688726,0.0005743412487688726,9823.226621640686
118,1,107191.71,107293.29,0.0009476479104586488,0.0009476479104586488,9832.535581822645
120,-1,107293.29,107261.49,0.00029638386519781346,0.00029638386519781346,9835.449786723082
122,-1,107261.49,107350.94,-0.0008339432912967126,-0.0008339432912967126,9827.247579356559
124,1,107350.94,107350.94,0.0,0.0,9827.247579356559
126,1,107350.94,107638.38,0.002677573200569938,0.002677573200569938,9853.56075411041
128,1,107638.38,107927.51,0.0026861236670412403,0.0026861236670412403,9880.028636856654
130,1,107927.51,108001.95,0.000689722203356613,0.000689722203356613,9886.843111977294
132,1,108001.95,108387.47,0.003569565179147194,0.003569565179147194,9922.1348428815
134,1,108387.47,108204.81,-0.0016852501493023198,-0.0016852501493023198,9905.413563656137
136,1,108204.81,108083.35,-0.0011225009313355905,-0.0011225009313355905,9894.294727705668
138,1,108083.35,107969.46,-0.0010537238159253892,-0.0010537238159253892,9883.8688737093
140,1,107969.46,107792.59,-0.0016381484171543725,-0.0016381484171543725,9867.677629558471
142,1,107792.59,107582.8,-0.00194623767737645,-0.00194623767737645,9848.47278356762
144,-1,107582.8,107552.95,0.00027746070933276634,0.00027746070933276634,9851.205347811994
146,-1,107552.95,107702.19,-0.001387595598261182,-0.001387595598261182,9837.535858633802
148,-1,107702.19,107479.49,0.0020677388268520724,0.0020677388268520724,9857.877313489247
150,-1,107479.49,107483.96,-4.1589330206148745e-05,-4.1589330206148745e-05,9857.467330974525
152,-1,107483.96,107511.46,-0.00025585212900613996,-0.00025585212900613996,9854.945276971286
154,-1,107511.46,108165.7,-0.006085304766580091,-0.006085304766580091,9794.974931502948
156,1,108165.7,108296.9,0.0012129538291714148,0.0012129538291714148,9806.855783852752
158,1,108296.9,108723.83,0.003942218105966067,0.003942218105966067,9845.516548286454
160,1,108723.83,108507.54,-0.001989352288270241,-0.001989352288270241,9825.930347411919
162,1,108507.54,108506.08,-1.3455286148711387e-05,-1.3455286148711387e-05,9825.798136707417
164,1,108506.08,108608.36,0.0009426199895894438,0.0009426199895894438,9835.060130444748
166,1,108608.36,108366.55,-0.0022264400272685725,-0.0022264400272685725,9813.162958899733
168,1,108366.55,108207.95,-0.0014635512526698369,-0.0014635512526698369,9798.800891958583
170,1,108207.95,107718.87,-0.00451981578063354,-0.00451981578063354,9754.512117055823
172,1,107718.87,107700.73,-0.00016840132095707894,-0.00016840132095707894,9752.86944433002
174,-1,107700.73,107632.11,0.0006371358857084619,0.0006371358857084619,9759.083347441632
176,-1,107632.11,107503.26,0.0011971334576643677,0.0011971334576643677,9770.766272632989
178,-1,107503.26,107605.03,-0.0009466689661319361,-0.0009466689661319361,9761.516591427358
180,-1,107605.03,107699.93,-0.0008819290324997286,-0.0008819290324997286,9752.90762654415
182,-1,107699.93,107594.88,0.0009753952486318829,0.0009753952486318829,9762.420566303428
184,-1,107594.88,107439.28,0.0014461654680967273,0.0014461654680967273,9776.538641811452
186,-1,107439.28,106811.02,0.0058475820016663516,0.0058475820016663516,9833.707753211904
188,-1,106811.02,107631.72,-0.0076836641013258156,-0.0076836641013258156,9758.14884596562
190,-1,107631.72,107692.1,-0.0005609870398801675,-0.0005609870398801675,9752.674650929812
192,-1,107692.1,107476.99,0.001997453852232489,0.001997453852232489,9772.155168480882
194,1,107476.99,107279.38,-0.00183862610964447,-0.00183862610964447,9754.187828840615
196,-1,107279.38,107662.63,-0.003572447939203194,-0.003572447939203194,9719.341500632872
198,-1,107662.63,107661.6,9.566922153037005e-06,9.566922153037005e-06,9719.43448481639
200,1,107661.6,107181.23,-0.0044618508363243325,-0.0044618508363243325,9676.067817931711
202,-1,107181.23,107056.17,0.0011668087779921343,0.0011668087779921343,9687.35793879812
204,-1,107056.17,107214.96,-0.0014832400598676632,-0.0014832400598676632,9672.989261429018
206,-1,107214.96,107364.38,-0.0013936487967722844,-0.0013936487967722844,9659.508511583637
208,-1,107364.38,107188.44,0.0016387185396125048,0.0016387185396125048,9675.337727265114
210,1,107188.44,107132.5,-0.0005218846360671714,-0.0005218846360671714,9670.288317156494
212,1,107132.5,107191.7,0.0005525867500524306,0.0005525867500524306,9675.63199034974
214,-1,107191.7,106845.84,0.003226555787435026,0.003226555787435026,9706.850956745295
216,-1,106845.84,106918.11,-0.0006763950753720938,-0.0006763950753720938,9700.285290560782
218,-1,106918.11,106918.88,-7.201773394749367e-06,-7.201773394749367e-06,9700.215431304254
220,-1,106918.88,107124.15,-0.0019198667251283386,-0.0019198667251283386,9681.592310471116
222,-1,107124.15,106693.93,0.004016087875609808,0.004016087875609808,9720.474435965798
224,-1,106693.93,106602.87,0.0008534693585661168,0.0008534693585661168,9728.77056304762
226,-1,106602.87,106509.99,0.0008712711018004082,0.0008712711018004082,9737.246959695249
228,-1,106509.99,106536.56,-0.00024946016800853066,-0.00024946016800853066,9734.817904432743
230,-1,106536.56,106417.85,0.0011142653751913256,0.0011142653751913256,9745.665074957446
232,-1,106417.85,106723.07,-0.0028681278563700285,-0.0028681278563700285,9717.713261477107
234,-1,106723.07,105994.15,0.006830013416967984,0.006830013416967984,9784.085373435242
236,-1,105994.15,105984.54,9.066538106117239e-05,9.066538106117239e-05,9784.972451263959
238,-1,105984.54,106174.21,-0.0017896006342057458,-0.0017896006342057458,9767.461258359492
240,-1,106174.21,106232.19,-0.0005460836487505283,-0.0005460836487505283,9762.127407476497
242,-1,106232.19,105774.04,0.00431272291383622,0.00431272291383622,9804.22875803451
244,-1,105774.04,105570.34,0.0019258033445634926,0.0019258033445634926,9823.109774567598
246,-1,105570.34,106089.89,-0.004921363329889905,-0.004921363329889905,9774.766682337558
248,-1,106089.89,105818.07,0.0025621668568041045,0.0025621668568041045,9799.811265564036
250,-1,105818.07,105618.96,0.0018816256996559977,0.0018816256996559977,9818.2508422931
252,-1,105618.96,105668.01,-0.00046440525451107995,-0.00046440525451107995,9813.691195011832
254,-1,105668.01,105492.69,0.0016591587179506373,0.0016591587179506373,9829.973666313312
256,-1,105492.69,105763.3,-0.002565201437180198,-0.002565201437180198,9804.757803737042
258,-1,105763.3,105909.09,-0.0013784554755760237,-0.0013784554755760237,9791.242381655784
260,-1,105909.09,106195.33,-0.0027026953021691558,-0.0027026953021691558,9764.779636868483
