open,high,low,close,volume,close_time,number_of_trades,RSI_14,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0
195.5,195.5,195.5,195.5,2.0,1569333599999,2,0.0,202.56414898322558,208.8475,215.13085101677441,6.017166608912645,-0.5621322893123983
195.5,195.5,191.75,191.75,11.45587,1569335399999,16,0.0,198.07906655291836,207.9575,217.83593344708166,9.5004348937467,-0.32034768401401426
192.89,192.97,190.81,191.06,65.19179,1569337199999,79,0.0,194.6410092079814,207.03300000000002,219.42499079201863,11.971029538304153,-0.1444888584926902
190.49,192.36,187.52,192.36,52.4602,1569338999999,54,7.9155596710312475,192.2292225093287,206.17350000000002,220.11777749067133,13.52674081845757,0.004689288877060723
191.74,192.59,191.16,192.59,50.82803,1569340799999,38,9.283717000567302,190.23048656753446,205.32550000000003,220.4205134324656,14.703496090320565,0.07815539360140043
192.8,193.69,191.85,191.85,12.29143,1569342599999,22,8.829190466490925,188.34597333963958,204.44050000000004,220.5350266603605,15.744949420844161,0.10885771089467791
191.1,191.1,189.14,189.72,2.31772,1569344399999,6,7.665795583460691,186.2729139315274,203.44900000000004,220.62508606847268,16.884905866799677,0.10034550521960466
188.2,189.74,188.2,189.74,19.19899,1569346199999,12,7.788659872799815,184.4969747160405,202.45850000000002,220.42002528395952,17.74341436290351,0.14595156037894422
189.31,189.73,188.88,188.88,4.11322,1569347999999,6,7.3365852106177245,182.81458016820173,201.425,220.0354198317983,18.47875867623014,0.16295763036561703
188.88,188.88,188.88,188.88,0.0,1569349799999,0,7.336585210617725,181.3892804343531,200.3915,219.3937195656469,18.965095391418195,0.19710117388573276
188.01,188.15,164.7,165.57,247.42257,1569351599999,135,2.597416337036147,174.14387655761382,198.1925,222.24112344238617,24.267944995281027,-0.17826127508201162
165.04,172.21,161.29,169.66,535.97391,1569353399999,197,13.193082598035234,169.6307169148534,196.198,222.76528308514662,27.08211407368741,0.0005511117763293966
168.35,169.02,152.56,165.06,638.94469,1569355199999,217,11.657158663039294,164.79175136006734,193.9735,223.15524863993267,30.088386960005018,0.004596171450219233
165.22,167.56,160.83,165.94,342.34009,1569356999999,226,13.726398722849622,161.03712997405808,191.79299999999998,222.54887002594188,32.07194217301143,0.07970624830002304
165.19,166.93,163.01,164.91,71.95191,1569358799999,45,13.332759121530147,157.769293103886,189.561,221.352706896114,33.542455353278356,0.11230455350270632
164.04,164.53,162.59,164.53,7.2456,1569360599999,8,13.182558087612284,155.10494711106733,187.30999999999997,219.51505288893262,34.3869018086943,0.14632879072481844
164.61,169.7,164.61,167.51,122.71773,1569362399999,77,20.72491304301393,153.63322619158401,185.208,216.78277380841598,34.09655501751111,0.21974462735054084
167.54,168.81,167.19,167.41,2.61071,1569364199999,8,20.66004963522538,152.7658996774537,183.10099999999997,213.43610032254625,33.13482757881856,0.241372208544539
167.76,169.57,167.35,168.95,31.83609,1569365999999,5,24.575012919824054,152.8265028927384,181.07099999999994,209.31549710726148,31.197151512126784,0.2854272293472045
170.67,170.67,169.33,170.48,2.08495,1569367799999,6,28.357371290798003,153.92722294922623,179.11749999999995,204.30777705077367,28.127097632306974,0.3285548828504318
168.79,168.79,167.09,167.09,1.38158,1569369599999,3,25.326823699196368,153.20197012818613,177.69699999999997,202.19202987181382,27.56943546803136,0.28348668984059233
166.84,168.8,166.82,168.8,1.6929,1569371399999,7,29.42407688730766,152.68424009095406,176.5495,200.41475990904593,27.035205320939376,0.3376405698170796
168.9,168.9,168.9,168.9,1.0,1569373199999,1,29.667115445092197,152.36828721068406,175.4415,198.51471278931592,26.30302726471893,0.3582447087076441
169.11,170.21,169.08,169.97,8.0,1569374999999,8,32.35150304990961,152.57024982238275,174.322,196.07375017761726,24.955829072196572,0.399962072834069
170.64,172.79,170.64,172.79,1.26086,1569376799999,2,38.963414652121244,153.3507787107363,173.332,193.31322128926368,23.05543268324797,0.4864372654665701
174.15,174.15,172.17,172.17,5.73958,1569378599999,2,38.08212766762773,154.3684647328956,172.34799999999998,190.32753526710437,20.864222697222345,0.49504992767177725
172.17,172.17,172.17,172.17,0.0,1569380399999,0,38.08212766762773,155.45506208594514,171.4705,187.48593791405483,18.680108723138783,0.5218383038838461
171.31,171.31,171.28,171.28,1.52,1569382199999,2,36.70016581141242,157.03282357222838,170.54749999999999,184.0621764277716,15.84857758427606,0.5271001678773006
171.85,171.85,169.75,169.75,2.0,1569383999999,2,34.38975084876186,159.19030791776478,169.591,179.99169208223523,12.265617965853403,0.5076437221072803
169.2,169.2,167.93,167.93,5.36373,1569385799999,2,31.823306210859638,163.46357760109035,168.5435,173.62342239890964,6.02802528594653,0.43961521930613845
167.93,167.93,167.93,167.93,0.0,1569387599999,0,31.823306210859638,163.76611323499932,168.66150000000002,173.5568867650007,5.804984261376418,0.4252868021348353
167.87,167.87,167.87,167.87,2.36449,1569389399999,1,31.732762148323296,163.68803870871875,168.57199999999997,173.4559612912812,5.794510703178731,0.4281321085352202
168.77,168.77,168.77,168.77,1.0,1569391199999,1,34.73252836876455,164.16187336040852,168.7575,173.35312663959147,5.4464265464841235,0.5013599886348827
168.92,169.62,168.81,169.53,6.0,1569392999999,6,37.24043170285638,164.5280851078397,168.93699999999995,173.3459148921602,5.219596526705524,0.5672501073965494
168.98,168.98,168.5,168.5,3.0,1569394799999,3,35.2628271731633,165.12538209830126,169.11649999999997,173.1076179016987,4.719962749582348,0.42276600000496395
167.44,167.44,167.34,167.34,2.0,1569396599999,2,33.129095665673326,165.781127674806,169.25699999999998,172.73287232519397,4.107212493656381,0.22424188510822465
167.34,167.34,167.34,167.34,0.0,1569398399999,0,33.129095665673326,165.75385883929374,169.24849999999998,172.74314116070622,4.129597793429469,0.226939060087319
164.13,164.13,164.04,164.04,5.94008,1569400199999,2,27.615860271239736,164.9456764061162,169.07999999999998,173.21432359388376,4.8903756729167,-0.10953138833351733
163.18,163.99,163.18,163.99,1.43124,1569401999999,2,27.541074567709014,164.11135954389806,168.832,173.55264045610193,5.592115779119992,-0.01285413971118916
164.97,166.0,164.97,166.0,0.94768,1569403799999,2,35.14462950270943,163.7924130269786,168.608,173.4235869730214,5.712169022847547,0.22921265729277315
166.0,166.0,166.0,166.0,0.0,1569405599999,0,35.144629502709435,163.64186279841476,168.55350000000004,173.46513720158532,5.827986012257566,0.24005612637921678
166.0,166.0,166.0,166.0,0.0,1569407399999,0,35.144629502709435,163.37350302840565,168.41350000000006,173.45349697159446,5.985264805486976,0.260565332320374
167.41,167.92,167.41,167.92,0.75314,1569409199999,2,42.36072880699343,163.3253627513708,168.36450000000005,173.4036372486293,5.985985464428972,0.4558952278863833
168.31,168.31,167.7,167.7,1.43325,1569410999999,3,41.7870036115286,163.2621159353496,168.25100000000003,173.23988406465045,5.930287563997147,0.44477722945054504
167.3,167.3,166.73,166.73,0.80563,1569412799999,2,39.262083845688565,163.4035454267407,167.948,172.49245457325932,5.4117400305562615,0.3659905187338621
165.93,166.56,165.72,166.16,40.755,1569414599999,45,37.81607609928605,163.50115157480047,167.64749999999998,171.79384842519949,4.946507911182101,0.3206253011734765
166.82,166.92,166.82,166.92,0.59738,1569416399999,2,40.93941040578718,163.82022791752453,167.385,170.94977208247545,4.259368620217412,0.43477843895182533
166.11,166.11,166.11,166.11,0.35647,1569418199999,1,38.70791383460931,164.03221817702453,167.1265,170.22078182297545,3.702921826251924,0.3357454074718842
166.79,167.82,166.79,167.78,2.96007,1569419999999,5,45.324901835789625,164.16886800069148,167.028,169.8871319993085,3.4235361727477027,0.6315084438532186
168.24,168.39,167.96,167.96,7.73499,1569421799999,13,46.001573153926664,164.16834473093814,167.0295,169.89065526906188,3.4259280774496337,0.6626091408008578
168.04,168.45,167.17,167.17,2.71932,1569423599999,5,43.45936646147142,164.16067512486546,166.9915,169.82232487513454,3.390381995651921,0.5315279128652389
167.17,167.17,167.17,167.17,0.0,1569425399999,0,43.45936646147142,164.15424320272194,166.95649999999998,169.758756797278,3.356870558831832,0.5380942960344307
167.85,167.85,166.85,166.85,0.79586,1569427199999,2,42.35964490415973,164.19144556463465,166.8605,169.52955443536536,3.1991447171323992,0.49803301126779564
166.85,166.85,166.85,166.85,0.0,1569428999999,0,42.35964490415972,164.3710782587945,166.7265,169.08192174120546,2.8254917379126603,0.5262161119258416
168.45,168.45,168.45,168.45,0.90685,1569430799999,2,49.73531797200196,164.3764108671153,166.724,169.07158913288467,2.8161382079180908,0.8676111751887178
168.45,170.19,168.45,169.89,4.30617,1569432599999,8,55.28144673236431,164.11780941573068,166.85149999999996,169.58519058426924,3.276794735761181,1.0557505332689692
169.02,169.02,168.8,168.8,4.88236,1569434399999,9,50.719495650340164,164.06099111091112,166.9245,169.78800888908887,3.4309030598730286,0.827482831840758
168.34,168.63,167.89,167.89,10.48104,1569436199999,16,47.21631231342353,164.5697943070687,167.117,169.6642056929313,3.0484100276229227,0.6517348995695819
167.63,167.89,166.36,167.14,33.09081,1569437999999,53,44.488939258105574,165.1947482435594,167.27449999999993,169.35425175644048,2.48663335587976,0.46766441004715387
167.52,167.52,167.14,167.23,1.6871,1569439799999,3,44.90024810747695,165.34404354306818,167.33599999999998,169.3279564569318,2.3807865096952274,0.47339299269541624
167.53,167.97,167.53,167.97,0.51993,1569441599999,2,48.2927042812792,165.5276980479853,167.4345,169.34130195201473,2.2776691207782354,0.6404183584546308
169.65,169.65,169.65,169.65,0.16605,1569443399999,1,55.057897892050526,165.59319326905774,167.617,169.64080673094224,2.414798893838041,1.0022712813721795
170.29,170.29,169.78,169.78,5.36976,1569445199999,8,55.54261800814243,165.46834647496263,167.71,169.9516535250374,2.6732496870042075,0.9617127439365272
169.83,169.83,169.58,169.58,3.0,1569446999999,3,54.56753117220179,165.41151703520407,167.80400000000003,170.196482964796,2.8515207799527538,0.8711625173789788
170.48,170.68,170.48,170.65,2.90554,1569448799999,3,58.74079872443094,165.349605789004,168.0,170.650394210996,3.155231203566681,0.9999256316297457
170.56,170.56,170.56,170.56,0.34078,1569450599999,1,58.25607472244744,165.48362514110036,168.22,170.95637485889964,3.2533288062057273,0.9275729972429607
170.0,170.41,169.66,169.66,2.31106,1569452399999,4,53.50156392293599,165.62030895153765,168.357,171.09369104846235,3.2510570376786796,0.7380612164336394
169.66,169.66,168.8,168.8,2.07859,1569454199999,4,49.356338273046305,165.96332383192166,168.4915,171.01967616807835,3.0009539568207844,0.5610123621714421
170.0,170.0,169.99,170.0,1.38515,1569455999999,3,54.63768181309708,166.01169134753619,168.60250000000002,171.19330865246386,3.0732743019395734,0.7697034377029291
169.95,170.25,169.3,169.74,22.5747,1569457799999,16,53.339763996190726,166.07149377260737,168.6915,171.3115062273926,3.1062694058593614,0.7000949442481793
169.44,169.85,169.44,169.83,34.95804,1569459599999,11,53.74933271283652,166.26023156015677,168.82450000000003,171.3887684398433,3.0377918368995735,0.6960598165887508
168.83,168.88,168.4,168.7,2.09897,1569461399999,5,48.046833492583886,166.456044721107,168.901,171.34595527889303,2.895134166041668,0.4588949536755889
168.4,168.95,167.91,167.91,23.0224,1569463199999,26,44.492847665992656,166.65462342545283,168.954,171.2533765745472,2.7218965807819666,0.27298194398505454
168.02,168.36,167.28,167.4,8.65154,1569464999999,17,42.31668989890063,166.7768706601079,168.9815,171.18612933989212,2.609314439618666,0.1413229264023579
167.47,167.95,167.43,167.95,10.56339,1569466799999,16,45.41720021343836,166.71545442635468,168.9565,171.19754557364533,2.6528077625250557,0.2754396403543845
