,open,high,low,close,volume,number_of_trades,RSI_14,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0
28,9637.93,9665.05,9627.72,9665.05,0.201873,6,0.0,9798.328620104867,9916.875999999995,10035.423379895123,2.390821058872331,-0.562132289312389
29,9631.85,9637.63,9596.04,9637.63,0.418568,10,0.0,9730.40107552181,9902.250999999995,10074.10092447818,3.470926448505198,-0.26991887195617276
30,9620.35,9632.82,9546.89,9584.69,2.374545,34,0.0,9662.845709535393,9884.978999999996,10107.112290464598,4.494360391956371,-0.17592074869085678
31,9547.95,9553.26,9516.22,9535.03,1.70538,43,0.0,9594.941230613254,9865.223999999997,10135.506769386739,5.479505977497159,-0.11083065107921852
32,9524.66,9565.79,9421.25,9546.28,2.843953,56,3.493331798804355,9542.66577371362,9846.031499999997,10149.397226286375,6.1621928852528685,0.005956879721754629
33,9526.61,9530.87,9501.25,9521.38,0.436047,15,3.2248123234579755,9492.468975554855,9825.593999999997,10158.71902444514,6.780761029717739,0.043393654519498524
34,9521.68,9586.46,9519.83,9562.4,2.049221,36,14.838267147835104,9458.163579441361,9807.207499999999,10156.251420558636,7.1181102379782875,0.14931705498810877
35,9552.08,9553.76,9493.3,9504.38,1.053809,29,12.545088479638666,9417.072070017157,9785.919999999998,10154.76792998284,7.538339368865501,0.11835220274504976
36,9501.81,9508.38,9452.11,9508.38,1.761168,46,13.537178455136283,9382.713738418437,9764.832499999999,10146.95126158156,7.826427367424103,0.16443351415334684
37,9505.68,9506.98,9456.02,9469.46,1.926682,38,12.098996807830435,9346.329695693817,9741.798999999999,10137.26830430618,8.119019994277886,0.15567618392305269
38,9480.85,9480.95,9431.21,9431.21,1.754526,33,10.876068966208218,9308.665281672173,9716.853,10125.040718327826,8.401644407460452,0.15010828697864886
39,9426.51,9435.78,8602.89,8629.01,11.437328,154,3.3129429902549496,9028.613084455259,9651.797,10274.980915544742,12.913324131138303,-0.32061408717999024
40,8610.18,8792.85,8547.97,8580.56,58.617742,331,3.169583203799897,8813.302231913734,9584.318500000001,10355.334768086268,16.089120328926185,-0.15093211489001557
41,8530.61,8608.43,7996.45,8412.29,58.97264,504,2.7280500552446014,8595.06518856152,9508.4265,10421.787811438478,19.211618482584452,-0.10005634477426133
42,8404.31,8536.81,8269.51,8476.65,30.120438,446,8.006568006816368,8436.417362771259,9435.752499999999,10435.087637228738,21.18188532877987,0.020129702103895798
43,8476.65,8677.85,8409.69,8593.26,8.963874,253,16.8145458995075,8330.721375381234,9368.909000000001,10407.096624618769,22.162401718679675,0.12644083708625067
44,8580.26,8593.25,8518.46,8584.83,4.825127,83,16.690135774377364,8242.445832916208,9301.644,10360.842167083792,22.77442927473449,0.1616242256283598
45,8589.42,8760.17,8588.18,8656.51,5.239118,115,21.976432000091616,8184.734736939495,9237.963000000002,10291.191263060507,22.802175394305134,0.2239662946803217
46,8669.64,8688.57,8631.97,8642.7,1.802089,22,21.69086221800317,8141.323123018114,9173.5915,10205.859876981887,22.50521787419653,0.24285199864777257
47,8692.85,8718.19,8674.17,8687.7,1.615127,23,25.105980308592795,8122.259369180511,9111.470000000001,10100.68063081949,21.713524399893522,0.28580395984577256
48,8685.85,8767.85,8643.37,8692.51,2.758194,25,25.480076194041366,8092.781807657785,9062.842999999999,10032.904192342212,21.407436768842043,0.30911874275383133
49,8684.22,8684.22,8477.77,8519.67,1.47335,43,21.35271274965231,8047.558793840876,9006.945,9966.331206159122,21.303254458845327,0.2460485689330517
50,8528.12,8643.76,8528.12,8621.48,1.992137,35,28.681085919781296,8025.154426103958,8958.784500000002,9892.414573896045,20.842784507117976,0.3193585931779016
51,8637.69,8701.54,8637.69,8701.54,0.773214,11,33.89727163730574,8018.012221440572,8917.11,9816.20777855943,20.16567651536045,0.3801187117015264
52,8703.63,8724.77,8651.07,8651.07,1.113827,16,32.29376976693877,8017.06964814542,8872.3495,9727.62935185458,19.279669987179396,0.37063912500675644
53,8649.17,8680.23,8649.17,8680.23,0.96328,13,34.229629619063374,8028.32929382945,8830.292000000001,9632.254706170552,18.163900042502576,0.40644078655692
54,8691.05,8713.23,8645.17,8655.34,2.250752,34,33.35302733265382,8058.24163283235,8784.939,9511.63636716765,16.54416421486023,0.4108301434301873
55,8641.42,8643.18,8574.61,8586.61,2.93713,24,30.99273178226372,8092.106753564846,8739.050500000001,9385.994246435155,14.805813204424311,0.38218411504864913
56,8604.19,8616.08,8588.36,8606.96,1.987028,29,32.515514099478416,8156.343520178221,8693.9795,9231.615479821778,12.368006614733293,0.4190721015092344
57,8607.48,8613.81,8574.77,8574.77,1.057763,23,31.33750498092821,8252.995075809431,8649.244999999999,9045.494924190567,9.162647703714441,0.40602521861407176
58,8518.5,8527.79,8467.2,8467.2,3.385196,8,27.722968340651434,8441.42530296504,8601.0445,8760.66369703496,3.711623560021324,0.08073808637602291
59,8459.46,8545.11,8449.88,8523.89,2.592868,10,32.163659775606554,8433.152254117611,8595.7885,8758.42474588239,3.7840913810848096,0.2789591747832321
60,8489.09,8489.09,8488.49,8488.49,0.0395,2,30.887473237347837,8421.667218352419,8591.185,8760.70278164758,3.9463189687471685,0.1970966732755574
61,8486.61,8516.28,8486.61,8505.17,1.646089,7,32.25150911315978,8442.644456063503,8595.829,8749.013543936497,3.564159871874999,0.20408568100192095
62,8508.01,8532.22,8508.01,8511.34,1.636089,4,32.7800046222183,8449.35615331449,8597.5635,8745.770846685511,3.4476592510310824,0.2091119235034875
63,8503.07,8508.54,8482.89,8482.89,3.155492,9,31.557566265345745,8435.195660085676,8592.045,8748.894339914325,3.651036276330593,0.15203870140727335
64,8477.23,8478.96,8434.71,8467.42,3.21783,8,30.883143557560413,8419.695022968712,8586.174500000001,8752.65397703129,3.877849839443379,0.14333591708219554
65,8398.52,8400.01,8331.71,8344.39,3.870617,13,26.10501321409148,8375.746073724224,8570.5685,8765.390926275775,4.546312797704745,-0.08047347095410597
66,8329.58,8385.97,8313.92,8385.97,0.148015,4,30.044301239223593,8349.54782914721,8557.732000000002,8765.916170852794,4.8654052464552935,0.08747584099115699
67,8257.35,8269.54,8257.35,8266.16,3.234818,3,25.779738278529727,8300.40988451726,8536.655,8772.900115482742,5.5348404142545595,-0.07248802678369362
68,8270.5,8270.5,8270.5,8270.5,0.056111,3,26.188450935746758,8263.093386665101,8515.5545,8768.0156133349,5.929411016860945,0.014668820154242224
69,8270.5,8270.5,8270.5,8270.5,0.0,0,26.188450935746758,8227.919730567244,8503.096,8778.272269432755,6.4723782827514915,0.07736907968214375
70,8403.67,8451.57,8397.6,8397.6,0.872636,14,37.81850995042253,8218.795919464901,8491.902,8765.008080535099,6.432153374711554,0.3273528003931055
71,8431.77,8431.77,8391.96,8405.43,0.16616,10,38.46179479409147,8220.219227458421,8477.096500000001,8733.973772541582,6.060501317675931,0.36050439711749765
72,8432.68,8432.68,8378.7,8378.7,0.080393,5,37.052563325212695,8216.756761983486,8463.478,8710.199238016512,5.830256497778168,0.32819071296504215
73,8336.29,8357.49,8314.48,8329.21,0.479607,10,34.529943349299195,8214.671971755422,8445.927,8677.182028244577,5.476131352889441,0.24764440607847094
74,8307.28,8320.19,8263.55,8295.34,0.644068,12,32.88007678421614,8209.623802627315,8427.927,8646.230197372684,5.180471956453461,0.1963237332395812
75,8316.52,8358.61,8311.19,8312.18,1.320316,23,34.55442136738406,8203.53297253022,8414.2055,8624.87802746978,5.007544145903736,0.25785760671942676
76,8296.02,8396.39,8296.02,8391.57,1.379503,20,41.91129781055888,8213.224335805166,8403.436,8593.647664194834,4.52699738999224,0.46880843230558766
77,8385.59,8389.35,8372.01,8388.94,0.14961,12,41.743888087577695,8221.862343612716,8394.1445,8566.426656387284,4.104817504327784,0.48489541775788925
